"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04710","mmu04710","Circadian rhythm","8/131","34/9009",2.13100332140971e-08,5.263578203882e-06,4.64334407928222e-06,"18627/13170/18030/353187/18628/11865/79362/20893",8
"mmu03320","mmu03320","PPAR signaling pathway","9/131","89/9009",5.25206138325121e-06,0.000648629580831524,0.000572198266491053,"14077/16956/57875/74147/19013/22190/11363/57435/20411",9
"mmu04068","mmu04068","FoxO signaling pathway","9/131","131/9009",0.000116889850700432,0.00962393104100223,0.00848989441929453,"67731/56458/12359/26557/18176/13197/57436/12125/56484",9
"mmu04512","mmu04512","ECM-receptor interaction","7/131","88/9009",0.000279466465466027,0.0172570542425272,0.0152235679872283,"21828/21923/16420/21825/12842/12843/20971",7
"mmu04137","mmu04137","Mitophagy - animal","6/131","68/9009",0.000440936075285584,0.0217822421191078,0.0192155300177086,"22241/18176/57436/22190/56484/17532",6
"mmu04115","mmu04115","p53 signaling pathway","6/131","72/9009",0.000600304844928616,0.0228576383642959,0.0201642068672885,"21825/140742/12521/13197/53892/71361",6
"mmu04933","mmu04933","AGE-RAGE signaling pathway in diabetic complications","7/131","101/9009",0.000647787322065065,0.0228576383642959,0.0201642068672885,"18712/56458/17390/12842/18176/12843/50490",7
"mmu05205","mmu05205","Proteoglycans in cancer","10/131","205/9009",0.000787593175976763,0.0243169393082826,0.0214515509772618,"13039/17390/21825/15200/12842/18176/18569/12843/20971/17532",10
"mmu04010","mmu04010","MAPK signaling pathway","12/131","294/9009",0.00115421250108665,0.0316767208631558,0.0279440921315715,"53608/240168/26397/22030/18176/14281/329502/109689/13197/15370/17532/14164",12
"mmu04211","mmu04211","Longevity regulating pathway","6/131","90/9009",0.00193408930693302,0.0434290962556779,0.0383116255057547,"56458/22241/12359/140742/18176/56484",6
"mmu04912","mmu04912","GnRH signaling pathway","6/131","90/9009",0.00193408930693302,0.0434290962556779,0.0383116255057547,"26397/17390/15200/18176/12314/329502",6
